IME,VOKATIV
Krsmanija,Krsmanija
Krsta,Krsto
Krstan,Krstane
Krstana,Krstana
Krstimir,Krstimire
Krstina,Krstina
Krstinja,Krstinja
Krstivoje,Krstivoje
Krsto,Krsto
Krstomir,Krstomire
Kruna,Kruno
Krunislav,Krunislave
Krunislava,Krunislava
Krunislavka,Krunislavka
Krunoslav,Krunoslave
Krunoslava,Krunislava
Krunoslavka,Krunoslavka
Ksenija,Ksenija
Kumodrag,Kumodraže
Kuzman,Kuzmane
Labud,Labude
Laka,Lako
Laketa,Laketa
Lako,Lako
Lale,Lale
Lana,Lano
Lara,Laro
Lata,Lato
Latinka,Latinka
Laza,Lazo
Lazar,Lazare
Lazo,Lazo
Lela,Lela
Lena,Leno
Lenka,Lenka
Leonida,Leonida
Leonora,Leonora
Leontije,Leontije
Lepa,Lepa
Lepoje,Lepoje
Lepomir,Lepomire
Leposava,Leposava
Leposlav,Leposlave
Ležimir,Ležimire
Lidija,Lidija
Lila,Lila
Lilijana,Lilijana
Liza,Liza
Ljepava,Ljepava
Ljeposava,Ljeposava
Ljilja,Ljiljo
Ljiljan,Ljiljane
Ljiljana,Ljiljana
Ljuba,Ljubo
Ljuban,Ljubane
Ljuben,Ljubene
Ljubenko,Ljubenko
Ljubica,Ljubice
Ljubina,Ljubina
Ljubinka,Ljubinka
Ljubinko,Ljubinko
Ljubisav,Ljubisave
Ljubisavka,Ljubisavka
Ljubislav,Ljubislave
Ljubivoje,Ljubivoje
Ljubiša,Ljubiša
Ljubo,Ljubo
Ljubobrat,Ljubobrate
Ljubodrag,Ljubodraže
Ljuboja,Ljuboje
Ljuboje,Ljuboje
Ljubomir,Ljubomire
Ljubomirka,Ljubomirka
Ljubosava,Ljubosava
Ljupka,Ljupka
Ljupko,Ljupko
Ljupče,Ljupče
Lola,Lolo
Loza,Lozo
Lozan,Lozane
Lozana,Lozana
Lozanka,Lozanka
Lozinka,Lozinka
Lucija,Lucija
Lujo,Lujo
Luka,Luka
Luna,Luna
Luča,Luča
Lučija,Lučija
Magda,Magda
Magdalena,Magdalena
Maja,Majo
Majda,Majda
Makarije,Makarije
Makivija,Makivija
Makrena,Makrena
Maksim,Maksime
Maksimilijan,Maksimilijane
Maleta,Maleta
Maleš,Maleše
Malina,Malina
Malinka,Malinka
Mališa,Mališa
Manda,Mando
Manduša,Manduša
Mane,Mane
Manojlo,Manojlo
Mara,Maro
Margareta,Margareta
Marica,Marice
Marija,Marija
Marijan,Marijane
Marijana,Marijana
Marina,Marina
Marinka,Marinka
Marinko,Marinko
Marisav,Marisave
Marislav,Marislave
Marjan,Marjane
Marko,Marko
Marta,Marta
Martin,Martine
Matej,Matej
Mateja,Mateja
Matija,Matija
Matijaš,Matijaše
Mato,Mato
Mavren,Mavrene
Maša,Mašo
Mašan,Mašane
Mašinka,Mašinka
Maško,Maško
Medak,Medače
Melanija,Melanija
Melenija,Melenija
Melentije,Melentije
Metodije,Metodije
Metohija,Metohijo
Mihailo,Mihailo
Mihajlo,Mihajlo
Miholjka,Miholjka
Mija,Mijo
Mijailo,Mijailo
Mijak,Mijače
Mijalko,Mijalko
Mijan,Mijane
Mijana,Mijana
Mijat,Mijate
Mijo,Mijo
Mijobrat,Mijobrate
Mijuško,Mijuško
Mikailo,Mikailo
Mikica,Mikice
Mikaina,Mikaina
Mikan,Mikane
Mikonja,Mikonja
Mikosava,Mikosava
Mikoš,Mikoše
Mila,Mila
Miladija,Miladija
Miladin,Miladine
Miladinka,Miladinka
Milak,Milače
Milan,Milane
Milana,Milana
Milanka,Milanka
Milanko,Milanko
Milat,Milate
Milaš,Milaše
Milašin,Milašine
Mile,Mile
Milen,Milene
Milena,Milena
Milenija,Milenija
Milenka,Milenka
Milenko,Milenko
Milentije,Milentije
Milesa,Milesa
Mileta,Mileta
Mileva,Mileva
Milevka,Milevka
Mileš,Mileše
Mili,Mili
Milica,Milice
Milija,Milija
Milijan,Milijane
Milijana,Milijana
Milijaš,Milijaše
Milika,Milika
Milimir,Milimire
Milimirka,Milimirka
Milin,Miline
Milina,Milina
Milinka,Milinka
Milinko,Milinko
Milisav,Milisave
Milisava,Milisava
Milisavka,Milisavka
Milivoj,Milivoje
Milivoje,Milivoje
Milivojka,Milivojka
Milić,Miliću
Miličko,Miličko
Miliša,Miliša
Milja,Miljo
Miljan,Miljane
Miljana,Miljana
Miljen,Miljene
Miljka,Miljka
Miljkan,Miljkane
Miljko,Miljko
Miljojko,Miljojko
Miljurko,Miljurko
Milka,Milka
Milkan,Milkane
Milkica,Milkice
Milko,Milko
Milna,Milna
Milo,Milo
Milobran,Milobrane
Miloica,Miloice
Miloja,Miloja
Miloje,Miloje
Milojica,Milojice
Milojka,Milojka
Milojko,Milojko
Miloljub,Miloljube
Milomir,Milomire
Milomirka,Milomirka
Milonja,Milonja
Milorad,Milorade
Milosav,Milosave
Milosava,Milosava
Milosavka,Milosavka
Milosija,Milosija
Miloslav,Miloslave
Milovan,Milovane
Milovanka,Milovanka
Miloš,Miloše
Milten,Miltene
Miluka,Miluka
Milun,Milune
Miluna,Miluna
Milunika,Milunika
Milunka,Milunka
Milutin,Milutine
Miluš,Miluše
Miluša,Miluša
Mina,Mina
Minja,Minja
Miodrag,Miodraže
Mioljka,Mioljka
Mioljub,Mioljube
Miomir,Miomire
Miomira,Miomira
Miomirka,Miomirka
Miona,Miona
Mionka,Mionka
Mira,Miro
Miraš,Miraše
Miren,Mirene
Mirjana,Mirjana
Mirka,Mirka
Mirko,Mirko
Mirna,Mirna
Miro,Miro
Miroje,Miroje
Miroljub,Miroljube
Mirosav,Mirosave
Mirosava,Mirosava
Mirosinka,Mirosinka
Miroslav,Miroslave
Miroslava,Miroslava
Miroslavka,Miroslavka
Mirča,Mirča
Mirčeta,Mirčeta
Mita,Mito
Mitar,Mitre
Mitra,Mitra
Mića,Mićo
Mićan,Mićane
Mićko,Mićko
Mićo,Mićo
Mićun,Mićune
Miša,Mišo
Miško,Miško
Mišljen,Mišljene
Mišo,Mišo
Mladen,Mladene
Mladena,Mladena
Mladenka,Mladenka
Mladomir,Mladomire
Mlađan,Mlađane
Mlađen,Mlađene
Mojaš,Mojaše
Mojsilo,Mojsilo
Momir,Momire
Momira,Momira
Momirka,Momirka
Momčilo,Momčilo
Monika,Monika
Moša,Mošo
Mrkša,Mrkša
Mrđan,Mrđane
Mrđen,Mrđene
Nada,Nado
Nadežda,Nadežda
Nadica,Nadice
Najda,Najda
Najdan,Najdane
Nana,Nano
Nastasija,Nastasija
Nata,Nato
Natalija,Natalija
Nataša,Nataša
Naum,Naume
Nađa,Nađa
Nebojša,Nebojša
Neda,Nedo
Nedeljka,Nedeljka
Nedeljko,Nedeljko
Negica,Negice
Negomir,Negomire
Negomirka,Negomirka
Negosava,Negosava
Negoslav,Negoslave
Negoslava,Negoslava
Negoslavka,Negoslavka
Negovan,Negovane
Negovanka,Negovanka
Nela,Nela
Nemanja,Nemanja
Nenad,Nenade
Nestor,Nestore
Neven,Nevene
Nevena,Nevena
Nevenka,Nevenka
Nevenko,Nevenko
Neđeljka,Neđeljka
Neđeljko,Neđeljko
Neđo,Neđo
Neško,Neško
Nikašin,Nikašine
Nikodije,Nikodije
Nikodim,Nikodime
Nikola,Nikola
Nikoleta,Nikoleta
Nikolija,Nikolija
Nikolina,Nikolina
Nikon,Nikone
Nikša,Nikša
Nina,Nina
Ninko,Ninko
Nino,Nino
Ninoslav,Ninoslave
Ninoslava,Ninoslava
Nićifor,Nićifore
Nišava,Nišava
Njegoje,Njegoje
Njegomir,Njegomire
Njegomirka,Njegomirka
Njegosav,Njegosave
Njegosava,Njegosava
Njegoslav,Njegoslave
Njegoslava,Njegoslava
Njegovan,Njegovane
Njegoš,Njegošu
Njeguš,Njegušu
Novak,Novače
Novica,Novice
Noviša,Noviša
Novka,Novka
Novko,Novko
Novo,Novo
Obrad,Obrade
Obradin,Obradine
Obradinka,Obradinka
Obren,Obrene
Obrenija,Obrenija
Obrenko,Obrenko
Obreten,Obretene
Ognjan,Ognjane
Ognjana,Ognjana
Ognjanka,Ognjanka
Ognjen,Ognjene
Ognjena,Ognjena
Ognjenka,Ognjenka
Ojdana,Ojdana
Oleg,Oleže
Olga,Olga
Olgica,Olgice
Oliver,Olivere
Olivera,Olivera
Oliverka,Oliverka
Olja,Olja
Oskar,Oskare
Ostoja,Ostoja
Otaš,Otaše
Ozarija,Ozarija
Ozren,Ozrene
Ozrenka,Ozrenka
Ozriša,Ozriša
Pajka,Pajka
Panta,Panto
Pantelija,Pantelija
Panto,Panto
Paraskeva,Paraskeva
Paulina,Paulina
Paun,Paune
Pauna,Pauna
Pava,Pavo
Pavija,Pavija
Pavić,Paviću
Pavka,Pavka
Pavko,Pavko
Pavle,Pavle
Pavlija,Pavlija
Pavlina,Pavlina
Pavlić,Pavliću
Peđa,Peđa
Pejak,Pejače
Pejka,Pejka
Pejko,Pejko
Pejo,Pejo
Peladija,Peladija
Pelagija,Pelagija
Pepica,Pepice
Pera,Pero
Peran,Perane
Perica,Perice
Periša,Periša
Perka,Perka
Perko,Perko
Pero,Pero
Persa,Perso
Persida,Persida
Perun,Perune
Perunika,Perunika
Perunko,Perunko
Petak,Petače
Petar,Petre
Petkana,Petkana
Petko,Petko
Petoje,Petoje
Petoš,Petoše
Petra,Petra
Petrašin,Petrašine
Petrija,Petrija
Petrojka,Petrojka
Petronije,Petronije
Petruša,Petruša
Petruška,Petruška
Pilip,Pilipe
Plamenka,Plamenka
Planinka,Planinka
Plavša,Plavša
Podgorka,Podgorka
Poleksija,Poleksija
Poljka,Poljka
Poznan,Poznane
Poznana,Poznana
Predrag,Predraže
Premil,Premile
Prerad,Prerade
Prodan,Prodane
Prodana,Prodana
Prohor,Prohore
Prokopije,Prokopije
Prvoslav,Prvoslave
Prvoslava,Prvoslava
Prvoslavka,Prvoslavka
Punan,Punane
Puniša,Puniša
Pureš,Pureše
Puriša,Puriša
Purko,Purko
Puro,Puro
Racko,Racko
Rada,Rado
Radak,Radače
Radan,Radane
Radana,Radana
Radanka,Radanka
Radas,Radase
Radašin,Radašine
Rade,Rade
Raden,Radene
Radena,Radena
Radenka,Radenka
Radenko,Radenko
Radeta,Radeta
Radica,Radice
Radika,Radika
Radimir,Radimire
Radin,Radine
Radina,Radina
Radinka,Radinka
Radinko,Radinko
Radisav,Radisave
Radisavka,Radisavka
Radislav,Radislave
Radislava,Radislava
Radislavka,Radislavka
Radivoj,Radivoju
Radivoje,Radivoje
Radivojka,Radivojka
Radič,Radiče
Radiša,Radiša
Radman,Radmane
Radmila,Radmila
Radmilo,Radmilo
Radna,Radna
Radoba,Radoba
Radobud,Radobude
Radoica,Radoice
Radoja,Radoja
Radoje,Radoje
Radojica,Radojice
Radojka,Radojka
Radojko,Radojko
Radojla,Radojla
Radojlo,Radojlo
Radoljub,Radoljube
Radoman,Radomane
Radomir,Radomire
Radomira,Radomira
Radomirka,Radomirka
Radonja,Radonja
Radosav,Radosave
Radosija,Radosija
Radoslav,Radoslave
Radoslava,Radoslava
Radoslavka,Radoslavka
Radota,Radota
Radovan,Radovane
Radovanka,Radovanka
Radovin,Radovine
Radovinka,Radovinka
Radoš,Radoše
Raduka,Raduka
Radukan,Radukane
Radul,Radule
Radula,Radula
Radule,Radule
Radulin,Raduline
Radulka,Radulka
Radun,Radune
Radunka,Radunka
Radusin,Radusine
Raduša,Raduša
Raduška,Raduška
Rafailo,Rafailo
Raica,Raice
Rain,Raine
Raič,Raiče
Raičko,Raičko
Rajak,Rajače
Rajan,Rajane
Rajica,Rajice
Rajka,Rajka
Rajko,Rajko
Rajna,Rajna
Rajčeta,Rajčeta
Ralen,Ralene
Raleta,Raleta
Ranisav,Ranisave
Ranka,Ranka
Ranko,Ranko
Ranđa,Ranđo
Ranđel,Ranđele
Raosav,Raosave
Rasko,Rasko
Rastislav,Rastislave
Rastko,Rastko
Ratibor,Ratibore
Ratiborka,Ratiborka
Ratimir,Ratimire
Ratislav,Ratislave
Ratka,Ratka
Ratko,Ratko
Ratomir,Ratomire
Razumenka,Razumenka
Račeta,Račeta
Rađen,Rađene
Raško,Raško
Rekula,Rekula
Relja,Relja
Resan,Resane
Rista,Risto
Ristan,Ristane
Ristivoj,Ristivoju
Ristivoje,Ristivoje
Risto,Risto
Rodoljub,Rodoljube
Roksa,Roksa
Roksanda,Roksanda
Rosa,Roso
Rosanda,Rosanda
Rumenka,Rumenka
Rusimir,Rusimire
Rusmir,Rusmire
Rusmira,Rusmira
